id_estacao,data_medicao,acumulado_chuva_5min,acumulado_chuva_10min,acumulado_chuva_15min,acumulado_chuva_30min,acumulado_chuva_1h,acumulado_chuva_2h,acumulado_chuva_3h,acumulado_chuva_4h,acumulado_chuva_6h,acumulado_chuva_12h,acumulado_chuva_24h,acumulado_chuva_96h,acumulado_chuva_mes,data_particao,primary_key
24,2024-03-21T21:40:00,0.0,0.0,0.0,0.2,5.4,16.0,16.0,16.0,16.0,16.0,16.0,19.4,76.4,2024-03-21,24_2024-03-21 21:40:00
24,2024-03-21T21:30:00,0.0,0.0,0.0,0.4,10.4,16.0,16.0,16.0,16.0,16.0,16.0,19.4,76.4,2024-03-21,24_2024-03-21 21:30:00
24,2024-03-21T21:15:00,0.2,0.2,0.4,3.8,16.0,16.0,16.0,16.0,16.0,16.0,16.0,19.4,76.4,2024-03-21,24_2024-03-21 21:15:00
24,2024-03-21T21:20:00,0.0,0.2,0.2,2.8,16.0,16.0,16.0,16.0,16.0,16.0,16.0,19.4,76.4,2024-03-21,24_2024-03-21 21:20:00
29,2024-03-21T20:10:00,0.8,1.6,3.8,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,90.4,2024-03-21,29_2024-03-21 20:10:00
24,2024-03-21T21:25:00,0.0,0.0,0.2,1.2,12.6,16.0,16.0,16.0,16.0,16.0,16.0,19.4,76.4,2024-03-21,24_2024-03-21 21:25:00
24,2024-03-21T21:50:00,0.0,0.0,0.0,0.0,2.8,16.0,16.0,16.0,16.0,16.0,16.0,19.4,76.4,2024-03-21,24_2024-03-21 21:50:00
24,2024-03-21T21:55:00,0.0,0.0,0.0,0.0,1.2,16.0,16.0,16.0,16.0,16.0,16.0,19.4,76.4,2024-03-21,24_2024-03-21 21:55:00
24,2024-03-21T22:20:00,0.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,16.0,16.0,19.4,76.4,2024-03-21,24_2024-03-21 22:20:00
24,2024-03-21T22:55:00,0.0,0.0,0.0,0.0,0.0,1.2,16.0,16.0,16.0,16.0,16.0,19.4,76.4,2024-03-21,24_2024-03-21 22:55:00
24,2024-03-21T23:20:00,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,16.0,19.4,76.4,2024-03-21,24_2024-03-21 23:20:00
24,2024-03-21T23:40:00,0.0,0.0,0.0,0.0,0.0,0.0,5.4,16.0,16.0,16.0,16.0,19.4,76.4,2024-03-21,24_2024-03-21 23:40:00
29,2024-03-21T23:55:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,17.0,17.0,17.0,17.0,91.4,2024-03-21,29_2024-03-21 23:55:00
29,2024-03-21T23:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,17.0,17.0,17.0,17.0,91.4,2024-03-21,29_2024-03-21 23:45:00
29,2024-03-21T23:35:00,0.0,0.0,0.0,0.0,0.0,0.0,0.2,17.0,17.0,17.0,17.0,17.0,91.4,2024-03-21,29_2024-03-21 23:35:00
29,2024-03-21T23:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,17.0,17.0,17.0,91.4,2024-03-21,29_2024-03-21 23:40:00
29,2024-03-21T23:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.4,17.0,17.0,17.0,17.0,17.0,91.4,2024-03-21,29_2024-03-21 23:30:00
29,2024-03-21T23:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.4,17.0,17.0,17.0,17.0,17.0,91.4,2024-03-21,29_2024-03-21 23:25:00
29,2024-03-21T23:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.6,17.0,17.0,17.0,17.0,17.0,91.4,2024-03-21,29_2024-03-21 23:15:00
29,2024-03-21T23:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,17.0,17.0,17.0,17.0,91.4,2024-03-21,29_2024-03-21 23:10:00
29,2024-03-21T22:55:00,0.0,0.0,0.0,0.0,0.0,0.0,4.8,17.0,17.0,,17.0,17.0,91.4,2024-03-21,29_2024-03-21 22:55:00
29,2024-03-21T23:05:00,0.0,0.0,0.0,0.0,0.0,0.0,1.8,17.0,17.0,17.0,17.0,17.0,91.4,2024-03-21,29_2024-03-21 23:05:00
29,2024-03-21T22:45:00,0.0,0.0,0.0,0.0,0.0,0.0,14.6,17.0,17.0,17.0,17.0,17.0,91.4,2024-03-21,29_2024-03-21 22:45:00
29,2024-03-21T22:40:00,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,17.0,,17.0,17.0,91.4,2024-03-21,29_2024-03-21 22:40:00
29,2024-03-21T22:35:00,0.0,0.0,0.0,0.0,0.0,0.2,17.0,17.0,17.0,17.0,17.0,17.0,91.4,2024-03-21,29_2024-03-21 22:35:00
29,2024-03-21T22:20:00,0.0,0.0,0.0,0.0,0.0,0.4,17.0,17.0,17.0,17.0,17.0,17.0,91.4,2024-03-21,29_2024-03-21 22:20:00
29,2024-03-21T22:25:00,0.0,0.0,0.0,0.0,0.0,0.4,17.0,17.0,17.0,17.0,17.0,17.0,91.4,2024-03-21,29_2024-03-21 22:25:00
29,2024-03-21T22:10:00,0.0,0.0,0.0,0.0,0.0,1.0,17.0,17.0,17.0,17.0,17.0,17.0,91.4,2024-03-21,29_2024-03-21 22:10:00
